sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,amount
1,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18263/2025-2026/173840,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,2026-08-18,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,75000,75000.0
2,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,832080,832080.0
3,Odisha,Construction of community centers and community halls,WS/MP18142/2025-2026/185341,PURI(DISTRICT COLLECTOR PURI_IDA),BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),2026-08-28,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000,2000.0
4,Gujarat,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP575/2026-2027/291463,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),C R Patil,NAVSARI,2026-08-29,BHARGAV SUMANTRAI PATEL,Payment In-Progress,497845,497845.0
5,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-08-25,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000,7000.0
6,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-08-21,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000,7000.0
7,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,BOUDH(District Collector Boudh_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,2026-08-17,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000,3000.0
8,Karnataka,Construction of community centers and community halls,WS/MP18093/2026-2027/228510,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-07-02,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000,750000.0
9,Karnataka,Construction of community centers and community halls,WS/MP18086/2026-2027/292888,HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),SHREYAS. M. PATEL,HASSAN,2026-08-24,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000,750000.0
10,Odisha,Construction of community centers and community halls,WS/MP300/2026-2027/226384,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-29,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000,3000.0
11,Odisha,Construction of community centers and community halls,WS/MP300/2025-2026/226393,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-25,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000,7000.0
12,Karnataka,Construction of buildings for training institutions,WS/MP18093/2026-2027/217128,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-08-05,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000,750000.0
13,Karnataka,Installing tube-wells and borewells,WS/MP18093/2026-2027/217130,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-07-27,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000,375000.0
14,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18082/2025-2026/187502,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-08-10,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,250000,250000.0
15,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-21,DARSH BUILDCON,Payment In-Progress,799146,799146.0
16,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,498309,498309.0
17,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214767,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,36159.0
18,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214768,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,36159.0
19,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214771,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,36159.0
20,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214772,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,36159.0
21,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214774,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,36159.0
22,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214761,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,36159.0
23,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214174,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
24,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214202,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
25,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214193,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
26,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214195,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
27,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214196,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
28,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214190,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
29,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214253,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
30,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214320,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
31,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214321,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,18044.0
32,Andhra Pradesh,Construction of veterinary hospitals and dispensaries,WS/MP18007/2024-2025/140066,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Putta Mahesh Kumar,ELURU,2026-08-27,VIJAYA VIKRAM CONSTRUCTIONS,Payment In-Progress,1097173,1097173.0
33,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214776,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,36159.0
